年月,总行程数,总里程_英里,平均行程距离_英里,总收入_美元,平均票价_美元,平均乘客数,平均行程时长_分钟,平均速度_英里每小时,总小费_美元,平均小费率,信用卡支付比例,现金支付比例,周末行程比例
2023-01,2884161,9869545.58,3.421981498258939,78889775.14,27.352763989250253,1.3878372254530866,15.781471440047904,13.000413663631425,9806732.149999999,0.21176728176099174,0.8150495065982793,0.17610632693528552,0.2860658610944396
2023-02,2732593,9124239.54,3.3390408084921535,74560288.14999999,27.28554459079709,1.377348181745324,16.08456208077822,12.477889232317445,9363591.89,0.20774180021250105,0.8243799936543789,0.16648948452989523,0.2710059639324261
2023-03,3190563,11023088.04,3.454903739559444,89989606.64,28.204930176899815,1.3771083661410228,16.968319896310877,12.369759612020344,11299205.8,0.20718254458986352,0.8217668793877444,0.16886768886870437,0.2489623304727097
2023-04,3077707,10928152.33,3.550744866226707,88274614.64000002,28.681942316146408,1.408660408544413,17.34444326571698,12.413380930001402,10958157.280000001,0.20737522620368404,0.8136473030083761,0.1766292242893817,0.3162022895616769
2023-05,3281581,11710935.98,3.568687160243797,96345438.41999999,29.359457657757034,1.3841736650718053,18.16320737880105,11.914979778932839,12006816.14,0.2064055423103957,0.8193596318359961,0.17099014164209264,0.24152626432198382
2023-06,3084634,11103961.719999999,3.599766364502239,90485720.93,29.33434596454555,1.3935332360338375,17.780804686498733,12.06064682302342,11242154.18,0.21447769361845376,0.8194865257920388,0.17034695202088806,0.25022385151690607
2023-07,2712800,9895868.96,3.647843173105279,78840594.84,29.062442804482455,1.4244312149808316,17.18798378673941,12.611792412924393,9509838.190000001,0.2240634070716903,0.8014929224417576,0.1873993659687408,0.29921225302270715
2023-08,2628715,9677255.55,3.681363536937249,76691732.53999999,29.17460909227512,1.4081515112897367,17.21720991688588,12.495059193700074,9171111.149999999,0.20320545317986008,0.798544536018549,0.19006929241093082,0.24094738303695912
2023-09,2604668,9350962.27,3.590078378511196,78606657.96000001,30.179146808729563,1.3763811741074103,18.88100118709947,11.251893976126732,9761444.290000001,0.20213734683755527,0.8227259673785681,0.1665893695472897,0.24738277584705612
2023-10,3243622,11423374.610000001,3.5217958843539727,96476571.68,29.743469393166038,1.378519753534783,9.730612275413105,11.182114536118696,12171038.94,0.21133872636414067,0.8293555784243664,0.15995945273524473,0.282664872787273
2023-11,3092553,10533445.100000001,3.4060677698975574,90519084.24000001,29.270018732096105,1.3761581450665519,18.2930721747803,11.130507205612027,11525948.45,0.21161322196401533,0.8329092500597403,0.15598568561314874,0.25785006756553563
2023-12,3076220,10314632.330000002,3.353021672702213,89619945.74,29.133139287827266,1.4268563366729297,18.339263495458713,11.108476206186985,11278830.989999998,0.20692743832235594,0.8189362269278531,0.16885560850654374,0.3029116903212384
2024-01,2723700,8959134.27,3.289324914638176,74626742.62,27.399031692183428,1.3546220215148512,15.760587784998348,12.018001944733786,9454027.5,0.21421508969542544,0.8347174798986673,0.15338436685391196,0.25356243345449203
2024-02,2719628,8751070.28,3.21774532399284,74452237.09,27.375890044520798,1.342251955046793,16.13197420137362,11.509406393635222,9510590.379999999,0.21388401888064104,0.8438992391606499,0.14401271056188567,0.26777265125965755
2024-03,3036074,10276564.61,3.384820202010886,86028880.88,28.335567868240364,1.354733777898694,16.899740437815414,11.5455804395126,10914311.41,0.21043432021458305,0.8380286514755569,0.14865579692721587,0.3039636056301658
2024-04,2987719,10209971.38,3.4173131342003717,85804034.81,28.71891058362584,1.3506738752874685,17.274273188565147,11.389938892640464,10847048.700000001,0.21239658211339318,0.8383566192135204,0.14859898136337454,0.25846071869543286
2024-05,3192655,11015551.9,3.4502794382731614,93711873.28,29.352333177245896,1.3385774535613777,18.259257953020292,10.93864299871374,11822790.989999998,0.2086964499368127,0.8377262811045979,0.14864963486502614,0.2383959431883495
2024-06,3006600,10383626.52,3.453610896028737,87455401.4,29.08780729062729,1.3518638994212733,17.84245438368922,11.21172251298672,10991102.850000001,0.20705110275452565,0.8382638195968869,0.14729262289629483,0.30246823654626487
2024-07,2683183,9752591.950000001,3.634709950830786,78978125.81,29.434490979556745,1.3661975347935642,17.51812460549032,11.849427573787382,9616186.84,0.20679877779632222,0.8235871351301793,0.15967006350293664,0.23306796442881458
2024-08,2603792,9651543.700000001,3.7067260748938478,77196895.2,29.647873255621032,1.3697687833744017,17.644761115071145,11.854247188201219,9307167.6,0.20280433259112354,0.8196230728107314,0.1623777936179234,0.2649293799197478
2024-09,3024504,10793620.55,3.5687241775841594,91315007.28999999,30.19172971502104,1.3142991379743587,18.885550699662932,10.846395784227708,11527681.74,0.20612640301666124,0.845641136530155,0.1381142164136665,0.2871518768036015
2024-10,3302293,11542258.18,3.4952253419063664,98715994.57999998,29.89316653004442,1.3202523216443847,18.458242151741228,10.788418520329557,12605532.91,0.21011227772851898,0.8480143948462477,0.13574083220356278,0.2492949595932281
2024-11,3147529,10471548.82,3.32691098954132,90773194.11,28.839510012457392,1.338257089926733,17.92992152997902,10.59322786121659,11593000.46,0.2233376686541281,0.850017585223202,0.13385738463410504,0.3018167584794294
2024-12,3200308,10624152.059999999,3.3197279949304876,94448457.72999999,29.512302481511153,1.3721298075060275,18.864484173606623,10.3851375846805,12023413.68,0.2091897641845435,0.8390767388638843,0.14311560012348812,0.28109231986421307
2025-01,2816743,8948646.419999998,3.1769481347783586,77084489.30000001,27.366532658464052,1.306720918450849,15.108086307483498,11.56320175220748,9858040.1,0.224552597432579,0.8539178050677679,0.12931069678703383,0.24740737795389925
2025-02,2661165,8263100.1,3.1050686823252223,72635877.49000001,27.294766574038064,1.2842762474329852,15.39604670636106,11.132447935595572,9337124.36,0.22467319736425742,0.8640681806652349,0.11854544907963242,0.2694594284833898
2025-03,3100862,10270494.870000001,3.312141872163289,88288241.97999999,28.47216096040391,1.2978142851890861,16.10766317021955,11.418109901582357,11310622.4,0.22444471612492883,0.8594229604542221,0.12162295516537014,0.31223479148701233
2025-04,3091836,10190466.97,3.295927393949744,89064988.99000001,28.806504934285005,1.3140357379886902,16.575095202332854,10.976010114182307,11337568.080000002,0.2222074194907218,0.8558604013925706,0.1240201614833387,0.2507633005114113
2025-05,3254498,11250970.66,3.457052565403328,98075914.17999999,30.13549683545665,1.3015862968728202,17.7197627406746,10.847378674057245,12508531.69,0.2186929104823656,0.8603551146751358,0.11916553643603407,0.26789507936400636
2025-06,2977184,10410492.58,3.496758205068951,89174518.79999998,29.952639406902623,1.3045622977955007,17.154153550245244,11.34860275125559,11326135.62,0.2173352558327482,0.8587473935101089,0.12005069219772778,0.26735734170276343
2025-07,2728470,9609563.5,3.521960476017695,81160469.47,29.745780408067525,1.3203659926625544,16.858083962806994,11.437812067986961,9998225.729999999,0.2130239248693414,0.845925005589213,0.1300743640208615,0.2250268465476989
2025-08,2557551,9482032.8,3.707465774876044,77056478.2,30.12900943128798,1.3333431083094727,17.066574918740624,11.931856925740952,9290782.370000001,0.21077380145667726,0.8401044593050149,0.13390231514444872,0.2971541916466182
